Command,wait,position,text,fadeType,fadeTime,baloonType,path
SetBackGraund,0,,,,,,starsky
FadeOut,0,,,Gray,0,,
WindowMessage,0,,満点の星空の下,White,,,
HideWindowMessage,0,,,,,,
FadeIn,0,,,Gray,0.5,,
SetCharacter,0,Right,,,,,フィリア
Message,0,Right,ハァ……ハァッ……,,,Normal,
FadeOut,0,,,Gray,0.5,,
WindowMessage,0,,少女は走っていた,White,,,
HideWindowMessage,0,,,,,,
FadeIn,0,,,Gray,0.5,,
Message,0,Right,にげ、なきゃ。はや、く……,,,Normal,
FadeOut,0,,,Gray,0.5,,
WindowMessage,0,,"後ろからは数人の男性が
少女を追いかけてくる",White,,,
HideWindowMessage,0,,,,,,
FadeIn,0,,,Gray,0.5,,
Message,0,Right,もう、すこし……もう、すこし……,,,Normal,
FadeOut,0,,,Gray,0.5,,
WindowMessage,0,,目の前には大きな森があった,White,,,
WindowMessage,0,,"薄暗く、空を覆ってしまいそうな
広大な森が広がっていた",White,,,
WindowMessage,0,,そこに少女は逃げ込んだ,White,,,
FadeOut,0,,,Black,1,,
WindowMessage,0,,いったいどれだけ走っただろう,White,,,
WindowMessage,0,,"星空はとうに消え
薄暗い森は少女を拒絶するように",White,,,
WindowMessage,0,,"枝葉は肌を裂き
木の根は歩調を狂わせ",White,,,
WindowMessage,0,,少女は倒れ,White,,,
WindowMessage,0,,そのまま眠りについた,White,,,
HideWindowMessage,0,,,,,,
HideMessage,0,,,,,,
SetBackGraund,0,,,,,,夜の森
SetCharacter,0,Left,,,,,エト
FadeIn,0,,,BtoG,0.5,,
WindowMessage,0,,どれほどの時間がたっただろう,White,,,
WindowMessage,0,,目を覚ますと目の前に男の子がいた,White,,,
HideWindowMessage,0,,,,,,
FadeIn,0,,,Gray,0.5,,
Message,0,Left,おい、おい、目を覚ませ,,,Normal,
Message,0,Right,うぅ……ここは？,,,Normal,
Message,0,Left,よかった、目を覚まして,,,Normal,
Message,0,Left,"ここは夜の森
人が入ってきてはいけない魔物の森",,,Normal,
Message,0,Left,どこか、ケガはないかい？,,,Normal,
Message,0,Right,助けてくれて、ありがとう,,,Normal,
Message,0,Left,別に……,,,Normal,
Message,0,Left,俺はこの森の防人,,,Normal,
Message,0,Left,"君みたいに迷い込んできた人間を
森の外まで案内するのが役目なんだ",,,Normal,
Message,0,Right,森の外まで守ってくれるの？,,,Normal,
Message,0,Left,役目だからね,,,Normal,
Message,0,Right,ありがとう…,,,Normal,
Message,0,Right,あの、えっと…,,,Normal,
Message,0,Left,名前？,,,Normal,
Message,0,Right,はい、お名前は何て呼べば,,,Normal,
Message,0,Left,ないよ,,,Normal,
Message,0,Right,えっ,,,Normal,
Message,0,Left,"ここの魔物は名前を食べる
食べられた人間は魔物になる",,,Normal,
Message,0,Left,"魔物になった人間は元に戻らず
ずっとこの森を徘徊するんだ",,,Normal,
Message,0,Left,だから絶対に名前を口にするなよ,,,Normal,
Message,0,Right,そうなんですね…,,,Normal,
Message,0,Right,えへへ…大丈夫,,,Normal,
Message,0,Right,私、名前ないから…,,,Normal,
Message,0,Left,"そうか
なら好都合だ",,,Normal,
Message,0,Left,"森の外まで案内するよ
立てる？",,,Normal,
Message,0,Right,はいっ！,,,Normal,
Message,0,Right,あわわっ！,,,Accent,
Message,0,Right,ずでんっ！,,,Accent,
Message,0,Right,あたた……,,,Normal,
Message,0,Left,……,,,Normal,
Message,0,Left,すこし、休憩してから行こうか,,,Normal,
Message,0,Right,はい…、ごめんなさい…,,,Normal,
Message,0,Left,向こうのほうに神殿があるから,,,Normal,
Message,0,Left,そこですこし休憩しよう,,,Normal,
Message,0,Right,はい…、ありがとうございます…,,,Normal,
